Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
20-Feb,PNR,PNR,r4,A,Wedgetail,0,2,1,1:17:43,4663,4471,4471,5,5,-,0.945,3,1.209,1,0.958,0.959,-0.001,0.959,0,0.959,0.96
20-Feb,PNR,PNR,r4,A,The Guarantee,0,2,1,1:29:14,5354,4534,4471,6,6,-,0.84,5,,,0.847,0.847,0,0.835,-1.42,0.835,0.844
20-Feb,PNR,PNR,r4,A,Black Diamond,0,2,1,1:34:32,5672,4554,4471,7,7,-,0.807,6,1.006,2,0.804,0.803,0.001,0.788,-1.87,0.788,0.798
20-Feb,PNR,PNR,r4,A,Jive Talkin,0,2,1,1:29:52,5392,4577,4471,8,8,-,0.857,7,,,0.849,0.849,0,0.829,-2.36,0.829,0.841
20-Feb,PNR,PNR,r4,A,Helter Skelter,0,2,1,1:33:40,5620,4754,4471,9,9,-,0.855,8,,,0.847,0.846,0.001,0.796,-5.91,0.821,0.838
21-Feb,PNR,PNR,r4,B,Wiseguy,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r4,B,White Cavalier,0,2,1,0:44:11,2651,1484,1626,1,1,-,0.65,10,,,0.56,0.56,0,0.614,9.64,0.577,0.566
21-Feb,PNR,PNR,r4,B,Prime Mover,0,2,1,0:35:13,2113,1588,1626,2,2,-,0.762,3,0.964,3,0.744,0.752,-0.008,0.77,2.39,0.77,0.756
21-Feb,PNR,PNR,r4,B,Titus Canby,0,2,1,0:38:49,2329,1595,1626,6,3,No,0.69,2,,,0.686,0.685,0.001,0.698,1.9,0.698,0.687
21-Feb,PNR,PNR,r4,B,Flying Machine,0,2,1,0:35:14,2114,1600,1626,4,4,-,0.762,4,0.941,1,0.753,0.757,-0.004,0.769,1.59,0.769,0.762
21-Feb,PNR,PNR,r4,B,Gucci,0,2,1,0:35:09,2109,1604,1626,3,5,No,0.745,1,0.963,2,0.754,0.761,-0.007,0.771,1.31,0.771,0.765
21-Feb,PNR,PNR,r4,B,Whistler III,0,2,1,0:36:37,2197,1610,1626,5,6.5,No,0.737,5,0.95,4,0.725,0.733,-0.008,0.74,0.95,0.74,0.735
21-Feb,PNR,PNR,r4,B,Testarossa,0,2,1,0:35:00,2100,1610,1626,7,6.5,No,0.772,6,,,0.762,0.767,-0.005,0.775,1.04,0.775,0.771
21-Feb,PNR,PNR,r4,B,Incantare,0,2,1,0:39:54,2394,1625,1626,9,8,No,0.725,11,,,0.679,0.679,0,0.679,0,0.679,0.679
21-Feb,PNR,PNR,r4,B,Stepping Stone,0,2,1,0:36:00,2160,1626,1626,8,9,No,0.755,7,,,0.744,0.753,-0.009,0.753,0,0.753,0.753
21-Feb,PNR,PNR,r4,B,Haumuri,0,2,1,0:44:06,2646,1643,1626,10,10,-,0.662,12,,,0.619,0.621,-0.002,0.615,-0.97,0.615,0.62
21-Feb,PNR,PNR,r4,B,Illusions,0,2,1,0:42:15,2535,1660,1626,11,11,-,0.675,9,0.918,5,0.652,0.655,-0.003,0.642,-1.98,0.642,0.651
21-Feb,PNR,PNR,r4,B,Brix,0,2,1,0:41:16,2476,1678,1626,12,12,-,0.725,13,,,0.67,0.678,-0.008,0.657,-3.1,0.658,0.671
21-Feb,PNR,PNR,r4,B,After Midnight,0,2,1,0:38:47,2327,1705,1626,13,13,-,0.725,8,,,0.727,0.733,-0.006,0.699,-4.64,0.711,0.725
21-Feb,PNR,PNR,r4,B,Tracer,0,2,1,0:51:32,3092,1709,1626,14,14,-,0.595,14,,,0.55,0.553,-0.003,0.526,-4.88,0.536,0.549
21-Feb,PNR,PNR,r4,B,Synfinity,0,2,1,0:43:27,2607,1819,1626,15,15,-,0.72,16,,,0.699,0.698,0.001,0.624,-10.6,0.677,0.689
21-Feb,PNR,PNR,r4,B,Airship,0,2,1,0:41:24,2484,1937,1626,16,16,-,0.753,15,,,0.772,0.78,-0.008,0.655,-16.03,0.757,0.772
21-Feb,PNR,PNR,r4,B,CU,0,2,1,0:45:42,2742,1963,1626,17,17,-,0.76,17,,,0.71,0.716,-0.006,0.593,-17.18,0.695,0.709
21-Feb,PNR,PNR,r5,A,Black Diamond,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,A,Crusader,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,A,Helter Skelter,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,A,Magic Trick,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,A,The Guarantee,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,A,Wedgetail,0,2,1,<dnf>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,A,St Laurence,0,2,1,0:42:25,2545,2651,2756,1,1,-,,,,,1.042,1.042,0,1.083,3.93,1.073,1.042
21-Feb,PNR,PNR,r5,A,Revs,0,2,1,0:50:10,3010,2678,2756,2,2,-,0.9,1,,,0.89,0.89,0,0.916,2.92,0.916,0.89
21-Feb,PNR,PNR,r5,A,Jive Talkin,0,2,1,0:54:38,3278,2756,2756,3,3,-,0.857,4,,,0.84,0.841,-0.001,0.841,0,0.841,0.841
21-Feb,PNR,PNR,r5,A,Blink,0,2,1,0:47:42,2862,2827,2756,4,4,-,0.96,2,1.362,1,0.988,0.988,0,0.963,-2.53,0.963,0.988
21-Feb,PNR,PNR,r5,A,Satellite Spy,0,2,1,0:52:00,3120,2832,2756,5,5,-,0.885,3,,,0.907,0.908,-0.001,0.884,-2.64,0.884,0.908
21-Feb,PNR,PNR,r5,B,Brix,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,B,CU,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,B,Stepping Stone,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,B,Wiseguy,0,2,1,<dnc>,,,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r5,B,White Cavalier,0,2,1,0:52:03,3123,1767,1889,1,1,-,0.65,12,,,0.566,0.566,0,0.605,6.89,0.583,0.573
