Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
11 Oct,Championship,Spring,r3,2,Whistler III,0,2,1,2:27:47,8867.0,6597.0,6432.0,10.0,10.0,-,0.74,8.0,0.95,3.0,0.7440000000000001,0.744,0.0,0.725,-2.55,0.725,0.738
11 Oct,Championship,Spring,r3,2,CU,0,2,1,2:20:02,8402.0,6662.0,6432.0,11.0,11.0,-,,,,,0.7929999999999999,0.793,-0.0,0.766,-3.4,0.769,0.785
11 Oct,Championship,Spring,r3,3,Illusions,0,2,1,2:03:49,7429.0,4932.0,5164.0,1.0,1.0,-,0.67,1.0,,,0.664,0.664,0.0,0.695,4.67,0.684,0.671
11 Oct,Championship,Spring,r3,3,Haumuri,0,2,1,2:09:25,7765.0,5047.0,5164.0,2.0,2.0,-,0.665,2.0,,,0.65,0.65,0.0,0.665,2.31,0.665,0.654
11 Oct,Championship,Spring,r3,3,Rosschild,0,2,1,2:14:44,8084.0,5060.0,5164.0,3.0,3.0,-,0.68,5.0,,,0.626,0.626,0.0,0.639,2.08,0.639,0.629
11 Oct,Championship,Spring,r3,3,Wai Aniwa,0,2,1,2:07:52,7672.0,5124.0,5164.0,4.0,4.0,-,0.69,4.0,,,0.6679999999999999,0.668,-0.0,0.673,0.75,0.673,0.669
11 Oct,Championship,Spring,r3,3,White Cavalier,0,2,1,2:32:21,9141.0,5164.0,5164.0,5.0,5.0,-,0.65,7.0,,,0.565,0.565,0.0,0.565,0.0,0.565,0.566
11 Oct,Championship,Spring,r3,3,Blurred Image,0,2,1,2:06:51,7611.0,5167.0,5164.0,6.0,6.0,-,,,,,0.679,0.679,0.0,0.679,0.0,0.679,0.679
11 Oct,Championship,Spring,r3,3,Titus Canby,0,2,1,2:07:44,7664.0,5211.0,5164.0,7.0,7.0,-,0.69,3.0,,,0.68,0.68,0.0,0.674,-0.88,0.674,0.679
11 Oct,Championship,Spring,r3,3,Marishka,0,2,1,2:26:53,8813.0,5358.0,5164.0,8.0,8.0,-,0.65,6.0,,,0.608,0.608,0.0,0.586,-3.62,0.59,0.603
11 Oct,Championship,Spring,r3,3,Maranui,0,2,1,2:47:58,10078.0,5532.0,5164.0,9.0,9.0,-,,,,,0.5489999999999999,0.549,-0.0,0.512,-6.74,0.533,0.544
11 Oct,Championship,Spring,r3,Open,Helter Skelter,0,2,1,2:14:42,8082.0,6716.0,7201.0,1.0,1.0,-,,,,,0.831,0.831,0.0,0.891,7.22,0.856,0.837
11 Oct,Championship,Spring,r3,Open,Structural Analysis,0,2,1,2:30:18,9018.0,6970.0,7201.0,2.0,2.0,-,,,,,0.773,0.773,0.0,0.799,3.36,0.796,0.78
11 Oct,Championship,Spring,r3,Open,Revs,0,2,1,2:11:12,7872.0,7100.0,7201.0,3.0,3.0,-,0.9,2.0,,,0.902,0.902,0.0,0.915,1.44,0.915,0.905
11 Oct,Championship,Spring,r3,Open,Magic Trick,0,2,1,2:12:38,7958.0,7201.0,7201.0,4.0,4.0,-,0.875,1.0,,,0.905,0.905,0.0,0.905,0.0,0.905,0.905
11 Oct,Championship,Spring,r3,Open,Wedgetail,0,2,1,2:05:45,7545.0,7273.0,7201.0,5.0,5.0,-,0.945,3.0,1.209,1.0,0.9640000000000001,0.964,0.0,0.954,-1.04,0.954,0.962
11 Oct,Championship,Spring,r3,Open,Badonkadonk,0,2,1,2:26:09,8769.0,7409.0,7201.0,6.0,6.0,-,0.865,4.0,,,0.845,0.845,0.0,0.821,-2.84,0.821,0.838
11 Oct,Championship,Spring,r3,Open,St Laurence,0,2,1,2:04:14,7454.0,7826.0,7201.0,7.0,7.0,-,,,,,1.05,1.05,0.0,0.966,-8.0,1.018,1.04
18 Oct,Championship,Spring,r4,1,Structural Analysis,0,2,1,<dnf>,,,,,0.0,,,,,,,,,,,,
18 Oct,Championship,Spring,r4,1,The Guarantee,0,2,1,2:40:45,9645.0,7995.0,8541.0,1.0,1.0,-,0.84,2.0,,,0.8290000000000001,0.829,0.0,0.886,6.88,0.854,0.837
18 Oct,Championship,Spring,r4,1,Magic Trick,0,2,1,2:32:34,9154.0,8247.0,8541.0,2.0,2.0,-,0.875,1.0,,,0.9009999999999999,0.901,-0.0,0.933,3.55,0.928,0.908
