Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,IRC,TCFapplied,newTCF,TCFdiff,TCFst,pctMvmt,TCFclmp,oldTCF
12-Apr,Championship,Autumn,r4,3,White Cavalier,2:24:06,8646,4763,4763,1,3,No,0.65,,0.551,0.551,0,0.551,0,0.551,0.551
12-Apr,Championship,Autumn,r4,3,Titus Canby,1:58:08,7088,4784,4763,2,4,No,0.69,,0.674,0.675,-0.001,0.672,-0.44,0.672,0.674
12-Apr,Championship,Autumn,r4,3,Marishka,2:12:42,7962,4824,4763,5,5,-,0.65,,0.615,0.606,0.009,0.598,-1.32,0.598,0.615
12-Apr,Championship,Autumn,r4,3,Haumuri,2:13:16,7996,5189,4763,6,6,-,0.665,,0.662,0.649,0.013,0.596,-8.17,0.63,0.662
12-Apr,Championship,Autumn,r5,1,Rocket Science,<dnf>,,,,,,,,,,,,,,,
12-Apr,Championship,Autumn,r5,1,Structural Analysis,<dnf>,,,,,,,,,,,,,,,
12-Apr,Championship,Autumn,r5,1,The Guarantee,2:22:54,8574,7082,7419,1,1,-,0.845,,0.819,0.826,-0.007,0.865,4.72,0.851,0.819
12-Apr,Championship,Autumn,r5,1,Revs,2:13:11,7991,7207,7419,2,2,-,0.89,1.234,0.903,0.902,0.001,0.929,2.99,0.929,0.904
12-Apr,Championship,Autumn,r5,1,Blink,2:13:50,8030,7419,7419,3,3,-,0.96,,0.943,0.924,0.019,0.924,0,0.924,0.943
12-Apr,Championship,Autumn,r5,1,Drinks Trolley,2:29:47,8987,7540,7419,5,4,No,0.84,,0.845,0.839,0.006,0.826,-1.55,0.826,0.846
12-Apr,Championship,Autumn,r5,1,Wedgetail,2:13:23,8003,7642,7419,4,5,No,0.95,1.208,0.948,0.955,-0.007,0.927,-2.93,0.927,0.948
12-Apr,Championship,Autumn,r5,2,Eat My Shorts,<dnf>,,,,,,,,,,,,,,,
12-Apr,Championship,Autumn,r5,2,Testarossa,<dnf>,,,,,,,,,,,,,,,
12-Apr,Championship,Autumn,r5,2,Blue Magic,2:11:07,7867,5703,5787,4,1,No,0.74,0.955,0.73,0.725,0.005,0.736,1.52,0.736,0.729
12-Apr,Championship,Autumn,r5,2,Incantare,2:17:42,8262,5709,5787,1,2,No,0.725,,0.676,0.691,-0.015,0.7,1.3,0.7,0.675
12-Apr,Championship,Autumn,r5,2,Gucci,2:05:23,7523,5777,5787,2,3,No,0.755,0.963,0.761,0.768,-0.007,0.769,0.13,0.769,0.76
12-Apr,Championship,Autumn,r5,2,Prime Mover,2:06:35,7595,5787,5787,3,4,No,0.765,0.964,0.756,0.762,-0.006,0.762,0,0.762,0.755
12-Apr,Championship,Autumn,r5,2,After Midnight,2:14:14,8054,5863,5787,5,5,-,0.72,,0.729,0.728,0.001,0.719,-1.24,0.719,0.728
12-Apr,Championship,Autumn,r5,2,Whistler III,2:11:37,7897,5906,5787,6,6,-,0.73,0.95,0.746,0.748,-0.002,0.733,-2.01,0.733,0.744
12-Apr,Championship,Autumn,r5,2,Wiseguy,2:25:53,8753,6135,5787,7,7,-,0.725,,0.699,0.701,-0.002,0.661,-5.71,0.68,0.698
12-Apr,Championship,Autumn,r5,2,Wellington Spirit Green,2:18:45,8325,6243,5787,8,8,-,0.79,,0.765,0.75,0.015,0.695,-7.33,0.728,0.757
25-Apr,Fleet,Special,Anzac,Combined,Bacchante,<dnf>,,,,,,,,,,,,,,,
25-Apr,Fleet,Special,Anzac,Combined,After Midnight,<dnf>,,,,,,,,,,,,,,,
25-Apr,Fleet,Special,Anzac,Combined,Haumuri,2:32:14,9134,5946,6775,1,1,-,0.665,,0.649,0.651,-0.002,0.742,13.98,0.671,0.649
